location_name,mean_1980,mean_1985,mean_1990,mean_1995,mean_2000,mean_2005,mean_2010,mean_2015,pdiff_1985,pdiff_1990,pdiff_1995,pdiff_2000,pdiff_2005,pdiff_2010,pdiff_2015,address,pdiff_1980
Afghanistan,34.66,33.03,29.94,24.3,20.41,20.52,22.94,25.08,-0.047028275,-0.136180035,-0.298903635,-0.411136757,-0.40796307,-0.33814195,-0.276399308,Afghanistan,0
Albania,31.2,32.7,33.49,35.01,37.15,39.6,42.84,45.17,0.048076923,0.073397436,0.122115385,0.190705128,0.269230769,0.373076923,0.44775641,Albania,0
Algeria,15.74,20.79,23.9,24.9,25.21,28.94,35.58,40.61,0.320838628,0.518424396,0.581956798,0.601651842,0.8386277,1.260482846,1.580050826,Algeria,0
American Samoa,71.46,72.97,74.71,76.63,78.35,78.74,78.75,78.64,0.021130702,0.045479989,0.072348167,0.096417576,0.101875175,0.102015113,0.100475791,American Samoa,0
Andorra,32.79,32.83,33.08,32.6,31.03,31.59,32.04,32.06,0.001219884,0.00884416,-0.00579445,-0.053674901,-0.036596523,-0.022872827,-0.022262885,Andorra,0
Angola,11.62,10.24,9.67,11.05,15.09,19.73,24.95,29.08,-0.118760757,-0.167814114,-0.049053356,0.298623064,0.697934596,1.147160069,1.502581756,Angola,0
Antigua and Barbuda,24.73,27.22,31.19,33.55,35.85,37.58,38.8,39.36,0.100687424,0.261221189,0.35665184,0.449656288,0.519611808,0.568944602,0.591589163,Antigua and Barbuda,0
Argentina,44.13,43.36,42.33,43.48,45.33,45.46,47.24,48.93,-0.017448448,-0.040788579,-0.014729209,0.027192386,0.030138228,0.070473601,0.108769545,Argentina,0
Armenia,35.73,35.48,34.69,33.97,34.75,37.25,41.89,45.19,-0.006996921,-0.029107193,-0.049258326,-0.027427932,0.042541282,0.172404142,0.264763504,Armenia,0
Australia,40.1,38.21,37.6,37.79,44.43,47.66,50.05,50.71,-0.04713217,-0.06234414,-0.057605985,0.10798005,0.188528678,0.248129676,0.264588529,Australia,0
Austria,29.71,30.58,33.95,38.35,39.69,39.28,38.85,39.92,0.02928307,0.142712891,0.290811175,0.335913834,0.322113766,0.307640525,0.343655335,Austria,0
Azerbaijan,36.05,35.66,34.55,33.3,34.98,41,46.77,49.5,-0.010818308,-0.041608877,-0.07628294,-0.029680999,0.137309293,0.297364771,0.373092926,Azerbaijan,0
Bahrain,45.78,48.39,49.69,50.17,50.61,50.91,51.68,51.85,0.057011796,0.085408475,0.095893403,0.105504587,0.112057667,0.128877239,0.132590651,Bahrain,0
Bangladesh,4.72,4.95,5.2,5.23,7.55,10.89,12.59,13.7,0.048728814,0.101694915,0.108050847,0.599576271,1.30720339,1.667372881,1.902542373,Bangladesh,0
Barbados,45.45,46.75,48.67,49.27,48.66,48.54,50.11,51.84,0.02860286,0.070847085,0.084048405,0.070627063,0.067986799,0.102530253,0.140594059,Barbados,0
Belarus,38.07,39.66,40.85,41.35,41.01,40.39,42.16,44.89,0.041765169,0.073023378,0.086157079,0.077226162,0.060940373,0.107433675,0.179143683,Belarus,0
Belgium,35.76,36.28,36.39,38.88,41.68,42.54,42.78,41.09,0.014541387,0.01761745,0.087248322,0.165548098,0.189597315,0.196308725,0.149049217,Belgium,0
Belize,40.59,41.58,42.95,45,47.38,49.62,49.41,48.76,0.024390244,0.0581424,0.10864745,0.167282582,0.222468588,0.2172949,0.201281104,Belize,0
Benin,8.88,9.7,11.86,16.06,21.29,25.55,29.38,30.3,0.092342342,0.335585586,0.808558559,1.397522523,1.877252252,2.308558559,2.412162162,Benin,0
Bermuda,29.67,32.67,36.75,38.8,41.31,43.98,45.46,46.25,0.101112235,0.238624874,0.307718234,0.39231547,0.482305359,0.532187395,0.558813616,Bermuda,0
Bhutan,14.02,15.07,16.87,19.09,22.01,24.67,27.22,29.92,0.07489301,0.203281027,0.361626248,0.569900143,0.759629101,0.941512126,1.134094151,Bhutan,0
Bolivia,32.18,33.04,33.34,34.89,38.26,40.45,42.58,44.93,0.026724674,0.036047234,0.084213797,0.188937228,0.25699192,0.323182101,0.396208825,Bolivia,0
Bosnia and Herzegovina,29.38,30.31,31.04,32.39,36.89,39.41,40.81,41.74,0.031654187,0.056501021,0.102450647,0.255616065,0.3413887,0.389040163,0.42069435,Bosnia and Herzegovina,0
Botswana,10.3,12.35,16.1,18.34,18.71,18.61,21.02,25.18,0.199029126,0.563106796,0.780582524,0.816504854,0.806796117,1.040776699,1.444660194,Botswana,0
Brazil,28.28,30.56,32.13,33.02,35.37,40,44.24,46.99,0.080622348,0.136138614,0.167609618,0.250707214,0.414427157,0.564356436,0.661598303,Brazil,0
Brunei,17.47,17.85,19.37,20.96,22.86,24.64,25.82,26.53,0.021751574,0.108757871,0.199771036,0.308528907,0.410417859,0.477962221,0.51860332,Brunei,0
Bulgaria,51.16,52.5,51.2,46.36,41.76,39.64,40.81,42.92,0.026192338,0.000781861,-0.093823299,-0.183737295,-0.225175919,-0.202306489,-0.161063331,Bulgaria,0
Burkina Faso,3.26,4.16,6.29,9.62,12.98,16.03,19.66,23.1,0.27607362,0.929447853,1.950920245,2.981595092,3.917177914,5.030674847,6.085889571,Burkina Faso,0
Burundi,9.31,8.57,8.02,7.58,7.42,7.32,6.71,6.15,-0.079484425,-0.138560687,-0.185821697,-0.203007519,-0.213748657,-0.279269603,-0.339419979,Burundi,0
Cambodia,6.18,6.41,7.04,7.71,8.32,10.1,11.34,12.57,0.037216828,0.139158576,0.247572816,0.346278317,0.634304207,0.834951456,1.033980583,Cambodia,0
Cameroon,21.1,22.37,23.69,26.31,30.58,31.35,33.06,35.57,0.060189573,0.122748815,0.246919431,0.4492891,0.485781991,0.566824645,0.685781991,Cameroon,0
Canada,36.43,36.65,37.19,40.65,44.06,46.82,46.24,46.24,0.006038979,0.020861927,0.115838595,0.209442767,0.285204502,0.269283558,0.269283558,Canada,0
